City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Bria,CF,6.5423,21.9863,68.83,97,100,2.86,overcast clouds
117,Ndende,GA,-2.4008,11.3581,73.18,98,100,1.45,light rain
118,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,40,6.91,light rain
119,Anadyr,RU,64.75,177.4833,30.7,92,100,13.42,light shower snow
120,Haines Junction,CA,60.7522,-137.5108,39.15,70,100,8.05,overcast clouds
121,Katsuura,JP,35.1333,140.3,73.53,64,100,18.54,overcast clouds
122,Nikolskoye,RU,59.7035,30.7861,40.91,94,100,3.38,overcast clouds
123,Butaritari,KI,3.0707,172.7902,81.25,72,1,12.91,clear sky
124,Stornoway,GB,58.2093,-6.3865,51.93,97,100,3.44,overcast clouds
125,Rio Gallegos,AR,-51.6226,-69.2181,44.65,42,0,16.11,clear sky
126,Hobyo,SO,5.3505,48.5268,77.81,85,40,14.47,scattered clouds
127,Lensk,RU,60.7253,114.9278,28.62,79,58,3.78,broken clouds
128,San Luis,AR,-33.295,-66.3356,51.33,67,31,19.93,scattered clouds
129,Chitrakonda,IN,18.1167,82.0833,64.29,88,0,2.57,clear sky
130,Port Blair,IN,11.6667,92.75,77.04,100,75,2.3,moderate rain
131,Hamilton,US,39.1834,-84.5333,61.0,46,0,6.91,clear sky
132,Ilhabela,BR,-23.7781,-45.3581,71.85,92,3,5.55,clear sky
133,Acarau,BR,-2.8856,-40.12,78.46,78,41,18.72,scattered clouds
134,Kattivakkam,IN,13.2167,80.3167,78.89,84,100,10.07,overcast clouds
135,Banepa,NP,27.6298,85.5214,53.92,94,20,2.3,few clouds
136,Bhawana,PK,31.5692,72.649,68.34,35,1,2.39,clear sky
137,Uyuni,BO,-20.4597,-66.825,41.74,15,2,11.5,clear sky
138,Gravdal,NO,68.1214,13.5031,45.27,76,100,19.15,overcast clouds
139,Qaanaaq,GL,77.484,-69.3632,0.09,59,97,8.52,overcast clouds
140,Mehamn,NO,71.0357,27.8492,35.55,93,75,16.11,broken clouds
141,Dzhebariki-Khaya,RU,62.2167,135.8,5.56,91,99,1.19,overcast clouds
142,Ust-Barguzin,RU,53.45,108.9833,31.77,72,37,3.27,scattered clouds
143,Falam,MM,22.9167,93.6833,63.63,75,97,0.31,overcast clouds
144,Port Alfred,ZA,-33.5906,26.891,66.45,86,100,11.72,light rain
145,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,79.66,66,47,4.41,scattered clouds
146,Tulun,RU,54.5611,100.5792,32.83,91,100,3.58,overcast clouds
147,Kahului,US,20.8947,-156.47,91.42,65,40,14.97,scattered clouds
148,Souillac,MU,-20.5167,57.5167,73.78,83,40,6.91,scattered clouds
149,Bin Qirdan,TN,33.1378,11.2197,68.9,68,0,7.52,clear sky
150,Samfya,ZM,-11.3649,29.5565,70.25,42,58,7.38,broken clouds
151,Talnakh,RU,69.4865,88.3972,33.21,97,100,15.84,light snow
152,Airai,TL,-8.9266,125.4092,74.95,50,100,1.1,overcast clouds
153,Dikson,RU,73.5069,80.5464,32.14,87,100,12.88,overcast clouds
154,Mitchell,US,43.7094,-98.0298,60.78,47,0,4.61,clear sky
155,Cockburn Town,TC,21.4612,-71.1419,83.03,75,68,16.26,broken clouds
156,Sitka,US,57.0531,-135.33,44.49,81,75,4.61,broken clouds
157,Bafq,IR,31.6128,55.4107,70.52,17,0,8.95,clear sky
158,Jamestown,US,42.097,-79.2353,56.79,43,0,11.5,clear sky
159,Aykhal,RU,66.0,111.5,18.34,96,98,12.28,overcast clouds
160,Georgetown,MY,5.4112,100.3354,81.9,87,40,8.05,scattered clouds
161,Kaitangata,NZ,-46.2817,169.8464,60.35,42,16,2.77,few clouds
162,Lebu,CL,-37.6167,-73.65,47.73,83,0,14.12,clear sky
163,Sao Borja,BR,-28.6606,-56.0044,61.95,93,0,5.97,clear sky
164,Kamenka,RU,51.3223,42.7678,37.92,75,100,6.38,overcast clouds
165,Ponta Do Sol,PT,32.6667,-17.1,71.01,80,51,6.49,broken clouds
166,Ialibu,PG,-6.2821,143.9935,64.81,87,79,3.24,broken clouds
167,East London,ZA,-33.0153,27.9116,67.98,87,100,10.13,light rain
168,Kokstad,ZA,-30.5472,29.4241,58.48,96,100,3.09,overcast clouds
169,Toamasina,MG,-18.1667,49.3833,66.2,94,40,2.3,scattered clouds
170,Padang,ID,-0.9492,100.3543,77.05,83,100,4.0,overcast clouds
171,Sun City,US,33.5975,-112.2718,85.35,35,20,8.01,few clouds
172,Dunedin,NZ,-45.8742,170.5036,59.81,58,15,1.99,few clouds
173,Zemio,CF,5.0314,25.1361,70.39,94,100,1.1,overcast clouds
174,Moanda,GA,-1.5575,13.2178,69.73,98,100,1.77,light rain
175,Rae Bareli,IN,26.2167,81.2333,69.22,66,0,4.14,clear sky
176,Luderitz,NA,-26.6481,15.1594,59.36,80,1,18.41,clear sky
177,Aripuana,BR,-9.1667,-60.6333,73.17,94,100,1.39,light rain
178,Bonthe,SL,7.5264,-12.505,76.1,89,80,4.61,moderate rain
179,Riberalta,BO,-10.9833,-66.1,82.51,63,98,2.3,overcast clouds
