City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
87,348,Labrea,BR,75.97,moderate rain,-7.2586,-64.7981,Hotel Novo Horizonte
88,349,Sabang,ID,81.23,light rain,5.8933,95.3214,Hotel Citra
89,357,Hambantota,LK,78.44,overcast clouds,6.1241,81.1185,Bungalow 63
90,358,San Patricio,US,75.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
91,361,Mecca,SA,79.47,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
92,362,Labuhan,ID,83.82,light rain,-6.8844,112.2051,DoubleFAG
93,364,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
94,367,Namatanai,PG,83.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
95,368,Tautira,PF,77.54,light rain,-17.7333,-149.15,Pension Oaoa
96,369,Saint-Louis,SN,84.88,clear sky,16.3333,-15.0,
97,370,Maceio,BR,76.14,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
98,385,Luwuk,ID,88.23,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
99,392,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
100,398,Oeiras,BR,83.97,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
101,407,Mangrol,IN,77.49,clear sky,21.1167,70.1167,Hotel The Royal Honours
102,411,Wanning,CN,78.67,scattered clouds,18.8003,110.3967,Paradise Hotel
103,417,Bani,DO,81.86,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
104,422,Kidal,ML,77.92,broken clouds,18.4411,1.4078,
105,424,Razole,IN,77.2,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
106,425,Palimbang,PH,86.61,overcast clouds,6.2106,124.1894,Felmar Beach resort
107,426,Takoradi,GH,76.55,overcast clouds,4.8845,-1.7554,Raybow International Hotel
108,429,Dakar,SN,79.68,few clouds,14.6937,-17.4441,Novotel Dakar
109,433,Majene,ID,85.6,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
110,434,Touros,BR,77.59,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
111,435,Gouyave,GD,81.37,light rain,12.1646,-61.7296,Rumboat Retreat
112,437,San-Pedro,CI,75.06,light rain,4.7485,-6.6363,Hotel Maria
113,443,Tabou,CI,75.81,light rain,4.423,-7.3528,hotêl doufoulougou
114,462,Samarai,PG,84.4,overcast clouds,-10.6167,150.6667,Nuli Sapi
115,469,Koutiala,ML,78.19,clear sky,12.3917,-5.4642,Hotel La Chaumiere
116,473,Bowen,AU,83.17,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
117,474,San Ramon De La Nueva Oran,AR,76.42,clear sky,-23.1322,-64.326,Hotel Residencial Centro
118,475,Loandjili,CG,78.91,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
119,476,Nelson Bay,AU,76.08,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
120,477,Qandala,SO,80.78,broken clouds,11.472,49.8728,
121,478,Puerto Carreno,CO,80.17,few clouds,6.189,-67.4859,Casa Hotel Victoria
122,486,Poum,NC,77.52,overcast clouds,-20.2333,164.0167,
123,488,Bogale,MM,78.55,overcast clouds,16.2833,95.4,Ngwe Taung
124,491,Maumere,ID,86.72,scattered clouds,-8.6199,122.2111,Sylvia Hotel
125,492,Nioro,GM,76.44,overcast clouds,13.35,-15.75,
126,493,Oussouye,SN,77.18,clear sky,12.485,-16.5469,Auberge du Routard
127,507,Broken Hill,AU,76.23,few clouds,-31.95,141.4333,Royal Exchange Hotel
128,510,Mogadishu,SO,76.89,few clouds,2.0371,45.3438,Hotel Juba
129,512,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
130,517,Norsup,VU,78.13,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
131,520,Taoudenni,ML,81.21,overcast clouds,22.6783,-3.9836,
132,523,Lahat,ID,81.79,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
133,527,Ichchapuram,IN,75.96,clear sky,19.1167,84.7,Munna chowdhary
134,530,Makakilo City,US,85.75,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
135,531,Pedreiras,BR,76.82,overcast clouds,-4.5688,-44.6003,Hotel Princesa do Mearim
136,536,West Bay,KY,80.08,scattered clouds,19.3667,-81.4167,Calypso Cove
137,537,Kinshasa,CD,75.58,light rain,-4.3246,15.3215,Star Hotel II
138,545,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
139,546,Beneditinos,BR,84.99,overcast clouds,-5.45,-42.3667,"Pousada, Pesque-Pague e Churrascaria Cabo Miguel"
140,554,Ugoofaaru,MV,80.22,overcast clouds,5.6667,73.0,Ungoofaaru Inn
141,557,Manokwari,ID,82.51,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
142,559,Chaozhou,CN,75.06,overcast clouds,23.6651,116.6379,Seven Corner View Homestay
143,562,Iracoubo,GF,79.84,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
144,564,Hoa Binh,VN,78.6,few clouds,20.8133,105.3383,Hoa Dao Hotel
145,568,Buluang,PH,86.99,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
146,569,Sur,OM,76.62,clear sky,22.5667,59.5289,Sur Plaza Hotel
147,570,Metro,ID,79.07,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
148,577,La Primavera,CO,81.03,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
149,579,Sahuaripa,MX,76.95,few clouds,29.05,-109.2333,Estatua de Sahuaripa
150,584,Pangkalanbuun,ID,81.23,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
151,585,Riohacha,CO,79.2,broken clouds,11.5444,-72.9072,Hotel Taroa
152,588,Lao Cai,VN,79.2,overcast clouds,22.4833,103.95,Legend Hotel
153,589,Bom Jesus,BR,79.68,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
154,593,Emerald,AU,80.35,clear sky,-23.5333,148.1667,The Irish Village
155,594,Thinadhoo,MV,81.88,broken clouds,0.5333,72.9333,
156,602,Itoman,JP,82.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
157,606,Poso,ID,87.37,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
158,610,Tabat,ID,76.55,overcast clouds,-2.635,115.2274,
159,611,Angoram,PG,75.6,overcast clouds,-4.0625,144.0661,
160,618,Pringsewu,ID,82.9,overcast clouds,-5.3582,104.9744,Urban Style by Front One
161,623,Singkang,MY,84.09,broken clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
162,628,Magangue,CO,75.83,overcast clouds,9.242,-74.7547,Abu Dhabi hotel´s
163,637,Puerto Colombia,CO,78.89,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
164,638,Kavaratti,IN,81.25,scattered clouds,10.5669,72.642,Green leaf
165,640,Mareeba,AU,86.49,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
166,642,Bacolod,PH,86.43,overcast clouds,10.6667,122.95,Planta Hotel & Residences
167,644,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
168,645,Diebougou,BF,75.72,clear sky,10.9667,-3.25,Famille Isola (Alhadj Ismaïl )
169,650,Adrar,MR,80.29,overcast clouds,20.5022,-10.0711,
170,652,Mbini,GQ,76.84,moderate rain,1.574,9.6134,Candy Vista Mar Mbini
171,656,Dickinson,US,75.94,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
172,659,Matara,LK,76.77,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
173,662,Morros,BR,81.77,broken clouds,-9.4467,-46.3003,
174,667,Catuday,PH,81.07,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
175,669,Umm Lajj,SA,79.11,clear sky,25.0213,37.2685,Moon light Furnished Units
176,670,Thai Binh,VN,77.72,overcast clouds,20.45,106.3333,Sweden Hotel
177,673,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
178,676,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
179,679,Sola,VU,79.11,moderate rain,-13.8833,167.55,Leumerus Bungalows
180,681,Stillwater,US,77.61,clear sky,36.1156,-97.0584,Hampton Inn & Suites Stillwater
