City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Dakar,SN,79.68,few clouds,14.6937,-17.4441,Novotel Dakar
433,Majene,ID,85.6,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
434,Touros,BR,77.59,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
435,Gouyave,GD,81.37,light rain,12.1646,-61.7296,Rumboat Retreat
437,San-Pedro,CI,75.06,light rain,4.7485,-6.6363,Hotel Maria
443,Tabou,CI,75.81,light rain,4.423,-7.3528,hotêl doufoulougou
462,Samarai,PG,84.4,overcast clouds,-10.6167,150.6667,Nuli Sapi
469,Koutiala,ML,78.19,clear sky,12.3917,-5.4642,Hotel La Chaumiere
473,Bowen,AU,83.17,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
474,San Ramon De La Nueva Oran,AR,76.42,clear sky,-23.1322,-64.326,Hotel Residencial Centro
475,Loandjili,CG,78.91,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
476,Nelson Bay,AU,76.08,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
477,Qandala,SO,80.78,broken clouds,11.472,49.8728,
478,Puerto Carreno,CO,80.17,few clouds,6.189,-67.4859,Casa Hotel Victoria
486,Poum,NC,77.52,overcast clouds,-20.2333,164.0167,
488,Bogale,MM,78.55,overcast clouds,16.2833,95.4,Ngwe Taung
491,Maumere,ID,86.72,scattered clouds,-8.6199,122.2111,Sylvia Hotel
492,Nioro,GM,76.44,overcast clouds,13.35,-15.75,
493,Oussouye,SN,77.18,clear sky,12.485,-16.5469,Auberge du Routard
507,Broken Hill,AU,76.23,few clouds,-31.95,141.4333,Royal Exchange Hotel
510,Mogadishu,SO,76.89,few clouds,2.0371,45.3438,Hotel Juba
512,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
517,Norsup,VU,78.13,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
520,Taoudenni,ML,81.21,overcast clouds,22.6783,-3.9836,
523,Lahat,ID,81.79,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
527,Ichchapuram,IN,75.96,clear sky,19.1167,84.7,Munna chowdhary
530,Makakilo City,US,85.75,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
