City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,Jamestown,42.097,-79.2353,40.59,67,100,8.05,US,2022-10-20 23:19:32
120,Banjar,-8.19,114.9675,79.93,81,100,2.71,ID,2022-10-20 23:19:33
121,Victoria,22.2855,114.1577,75.33,78,95,1.99,HK,2022-10-20 23:15:58
122,Andros Town,24.7,-77.7667,78.55,77,98,8.52,BS,2022-10-20 23:19:34
123,Callaway,30.153,-85.5699,62.65,45,0,9.22,US,2022-10-20 23:19:34
124,Lucapa,-8.4192,20.7447,65.17,98,100,2.26,AO,2022-10-20 23:19:35
125,Klaksvik,62.2266,-6.589,47.32,87,100,24.63,FO,2022-10-20 23:19:35
126,Kavieng,-2.5744,150.7967,84.07,69,79,7.4,PG,2022-10-20 23:19:36
127,Bardiyah,31.7561,25.0865,68.9,75,8,6.35,LY,2022-10-20 23:19:37
128,Ambunti,-4.2365,142.8448,79.5,87,99,2.15,PG,2022-10-20 23:19:37
129,Durban,-29.8579,31.0292,72.52,82,100,5.01,ZA,2022-10-20 23:19:38
130,Bubaque,11.2833,-15.8333,81.9,72,63,8.84,GW,2022-10-20 23:19:38
131,Ponta Do Sol,32.6667,-17.1,72.72,85,98,3.56,PT,2022-10-20 23:19:39
132,Hobyo,5.3505,48.5268,78.71,84,56,16.8,SO,2022-10-20 23:19:40
133,Georgetown,5.4112,100.3354,81.9,80,20,0.0,MY,2022-10-20 23:15:08
134,Atuona,-9.8,-139.0333,76.96,67,18,17.13,PF,2022-10-20 23:19:41
135,Amboasary,-25.0333,46.3833,67.57,87,0,4.9,MG,2022-10-20 23:19:41
136,Yellowknife,62.456,-114.3525,36.12,100,75,16.11,CA,2022-10-20 23:19:42
137,Jingdezhen,29.2947,117.2079,56.53,69,34,3.02,CN,2022-10-20 23:19:43
138,New Norfolk,-42.7826,147.0587,62.92,49,25,4.03,AU,2022-10-20 23:19:44
139,Pemberton,50.3164,-122.8027,60.49,81,100,2.59,CA,2022-10-20 23:19:44
140,Chuy,-33.6971,-53.4616,59.9,91,100,6.29,UY,2022-10-20 23:20:15
141,San Andres,12.5847,-81.7006,84.22,74,40,5.75,CO,2022-10-20 23:20:16
142,Cotonou,6.3654,2.4183,79.39,85,21,9.93,BJ,2022-10-20 23:15:41
143,Poso,-1.3959,120.7524,80.17,76,63,2.98,ID,2022-10-20 23:20:17
144,Hithadhoo,-0.6,73.0833,80.8,78,99,10.36,MV,2022-10-20 23:20:18
145,Panama City,8.9936,-79.5197,80.38,85,75,5.75,PA,2022-10-20 23:17:38
146,Parana,-31.732,-60.5238,69.55,82,66,3.04,AR,2022-10-20 23:18:44
147,Leh,34.1667,77.5833,27.14,80,38,2.42,IN,2022-10-20 23:20:21
148,Mayo,38.8876,-76.5119,58.12,59,0,0.0,US,2022-10-20 23:20:22
149,Mamallapuram,12.6264,80.1722,78.85,81,96,6.53,IN,2022-10-20 23:20:23
150,Cherskiy,68.75,161.3,15.22,94,99,9.64,RU,2022-10-20 23:20:24
151,Batemans Bay,-35.7167,150.1833,66.09,98,100,7.9,AU,2022-10-20 23:20:24
152,San Lorenzo,-25.3333,-57.5333,68.94,94,100,5.01,PY,2022-10-20 23:17:55
153,Lagoa,39.05,-27.9833,65.07,70,11,15.86,PT,2022-10-20 23:20:25
154,Eregli,37.5133,34.0467,57.38,56,74,5.03,TR,2022-10-20 23:18:01
155,Llanes,43.4198,-4.7549,62.98,70,51,13.27,ES,2022-10-20 23:20:27
156,Umm Lajj,25.0213,37.2685,81.46,58,4,7.25,SA,2022-10-20 23:20:27
157,Bolshoy Kamen,43.1225,132.3583,40.89,82,100,6.04,RU,2022-10-20 23:20:28
158,Mount Isa,-20.7333,139.5,79.61,35,0,8.46,AU,2022-10-20 23:20:29
159,Puerto Escondido,15.85,-97.0667,81.43,57,75,5.75,MX,2022-10-20 23:20:29
160,San Patricio,28.017,-97.5169,81.54,30,0,6.49,US,2022-10-20 23:20:30
161,Zhigansk,66.7697,123.3711,15.12,96,97,7.27,RU,2022-10-20 23:20:31
162,Skelleftea,64.7507,20.9528,34.16,100,100,4.61,SE,2022-10-20 23:20:31
163,Qaanaaq,77.484,-69.3632,0.57,67,8,12.03,GL,2022-10-20 23:20:32
164,Owando,-0.4819,15.8999,67.6,99,100,4.25,CG,2022-10-20 23:20:33
165,Yar-Sale,66.8333,70.8333,31.12,89,100,10.51,RU,2022-10-20 23:20:33
166,Kruisfontein,-34.0033,24.7314,54.88,85,25,3.67,ZA,2022-10-20 23:20:34
167,Baykit,61.67,96.37,32.63,91,96,3.87,RU,2022-10-20 23:20:35
168,Russell,32.3502,-85.1999,60.4,54,0,3.44,US,2022-10-20 23:20:36
169,Xining,36.6167,101.7667,40.91,84,90,2.71,CN,2022-10-20 23:16:11
170,Moroni,-11.7022,43.2551,73.76,80,94,2.35,KM,2022-10-20 23:20:37
171,Santa Isabel Do Rio Negro,-0.4139,-65.0192,81.0,71,100,3.02,BR,2022-10-20 23:20:38
172,Bathsheba,13.2167,-59.5167,81.21,89,75,13.8,BB,2022-10-20 23:20:38
173,Tura,25.5198,90.2201,67.03,86,0,5.21,IN,2022-10-20 23:20:39
174,Aksarka,66.5606,67.7975,30.42,95,98,9.6,RU,2022-10-20 23:20:40
175,Kapoeta,4.7717,33.5903,81.19,51,99,3.96,SS,2022-10-20 23:20:41
176,Cabo San Lucas,22.8909,-109.9124,87.62,75,8,11.77,MX,2022-10-20 23:18:42
177,Puerto Ayora,-0.7393,-90.3518,69.55,85,88,7.0,EC,2022-10-20 23:20:42
178,Sobolevo,54.4299,31.8996,36.23,91,29,4.29,RU,2022-10-20 23:20:42
179,Venice,27.0998,-82.4543,68.99,62,87,7.0,US,2022-10-20 23:19:58
180,Bereda,43.2686,-7.5406,58.41,90,68,13.33,ES,2022-10-20 23:20:43
181,Jerantut,3.936,102.3626,74.39,98,100,1.05,MY,2022-10-20 23:20:44
182,Pilar,-9.5972,-35.9567,70.39,79,5,5.26,BR,2022-10-20 23:20:45
